Justice will be done. | Andrew Tate 2023-11-20
Nie pozwól, by 5 złych minut zrujnowało Ci cały dzień. | 2023-11-20
Nie trać czasu na oglądanie się za siebie. Nie idziesz w tą stronę. | 2023-11-20
Lepiej robić kilka rzeczy dobrze niż kilkanaście tak sobie. | 2023-11-20
Nikt nigdy nie osiągnął sukcesu grając bezpiecznie. Kiedy masz szansę musisz spróbować. | 2023-11-20
Życie jest pełne trudnych decyzji, ale każda z nich ma potencjał być tą właściwą. | 2023-11-20
Dlaczego myszy zawsze dają się nabrać na pułapkę z serem? Bo nie potrafią zrozumieć dlaczego ser jest "Darmowy". | 2023-11-20
Nigdy nie pozwól, aby ktoś cię lekceważył. | 2023-11-10
Nigdy nie podawaj ręki siedząc. | 2023-11-10
Nigdy nie próbuj komuś zaimponować gdy nie masz pieniędzy. | 2023-11-10
Przestań mówić ludzią wszystko. Większość ludzi to nie obchodzi, a niektórzy potajemnie życzą ci porażki. | 2023-11-10
Powiedz komuś kto nazwał cię gejem: "Nie robiłbym sobie wielkich nadziei". | 2023-11-10
Powiedz komuś kto jest głupi: "Mam spaloną żarówkę, która świeci jaśniej niż ty". | 2023-11-10
Nie tłumacz się, mów prosto nie. | 2023-11-10
Nigdy nie przepraszaj jeśli nie musisz. | 2023-11-10
Nie stawiaj się na starcie w gorszej pozycji. | 2023-11-10
Nie pokazuj, że masz niską samoocenę. | 2023-11-10
Nie obwiniaj klauna za to, że zachowuje się jak klaun. Zadaj sobie pytanie, dlaczego wciąż chodzisz do cyrku. | 2023-11-10
Szanuj tych którzy mówią ci brzydką prawdę, a nie tych którzy mówią ci piękne kłamstwa. | 2023-11-10
Żyjesz, gdy przestajesz się przejmować tym, co mówią, albo myślą, albo robią. Liczy się tylko to, co Ty robisz. | 2023-11-10
Gdy tylko zrozumiesz, że twój czas jest ograniczony - nic Cię nie zatrzyma. | 2023-11-10
Najlepszy czas na posadzenie drzewa był 20 lat temu. Drugi najlepszy czas jest teraz. | 2023-11-10
Kiedy ktoś mówi ci o swoich problemach, to nieznaczy, że się skarży, to znaczy, że ci ufa. | 2023-11-10
Twoje życie zmieni się na lepsze, gdy przestaniesz walczyć o ludzi, którzy nie walczą o Ciebie. | 2023-11-10
Wymówki sprawiają, że dziś jest łatwiej, ale jutro będzie trudniej. Dyscyplina sprawia, że dziś jest trudniej, ale jutro będzie łatwiej. | 2023-11-10
Trzymaj się z dala od negatywnych ludzi. Oni zawsze znajdą problem na każde rozwiązanie. | 2023-11-10
Dlaczego myszy zawsze dają się nabrać na pułapkę z serem? Bo nie potrafią zrozumieć dlaczego ser jest "darmowy". | 2023-11-10
Wybierz swoje towarzystwo: być najlepszy w klasie lub uczyć się od najlepszych. | 2023-11-10
Ryba która ma zamknięte usta nigdy nie będzie złapana. | 2023-11-10
Nie daj się ukąsić dwa razy przez tego samego węża. | 2023-11-10
Niektórzy ludzie są twoimi przyjacielami, tylko dlatego, że boją się być twoim wrogiem. | 2023-11-10
NOW NOW NOW NOW. | 2023-11-10
Worry about the future or excited about the possibilities. | 2023-11-10
Jeśli chcesz uniknąć krytyki, nic nie mów, nic nie rób, bądź nikim. | 2023-11-10
Jeśli ktoś się ciebie zapyta: "czy wiesz która jest godzina?". Kiwnij głową i powiedz tak. | 2023-10-30
Nigdy nie siedź przy stole z ludźmi, którzy żle mówią o innych. Zgadnij kto będzie kolejnym tematem rozmów jak odejdziesz od stołu. | 2023-10-30
Gdy ktoś Cię obraża, skieruj wzrok na jego oczy, a później na czoło. Poczuje się zawstydzony. | 2023-10-30
Aby uniknąć dramatów w miejscu pracy i być lubianym, komplementuj ludzi za ich plecami. | 2023-10-30
Mówiąc "Masz rację!" zamast "Wiem", możesz dowiedzieć się więcej od tej osoby. | 2023-10-30
Zamast pytać: "Macie jakieś pytania?", zapytaj: "Jakie pytania macie?". Pierwsze zapytanie prawie zawsze prowadzi do ciszy, podczas gdy drugie pomaga ludziom poczuć się komfortowo podczas zadawania pytań. | 2023-10-30
Kiedy ktoś nieśmiały mówi do ciebie, patrząc na niego kiwaj lekko głową, to zachęca ich do kontynuacji rozmowy. | 2023-10-30
Witając się ze wszystkimi których znasz, rób to z uśmiechem. Tak mało wysiłku, aby ludzie uważali Cię za przyjazną osobę. | 2023-10-30
Jeśli ktoś obrazi Cię na gdziekolwiek gdzie są ludzie, powiedz mu, że nie dosłyszałeś i poproś o powtórzenie. Albo powtórzy i wyda się głupio przed wszystkimi, albo zda sobię sprawę, że popełnił błąd i przeprosi. | 2023-10-30
Zanim pokłócisz się z kimś zastanów się czy ta osoba jest na tyle dojrzała psychicznie, żeby zrozumieć, że dwie osoby mogą mieć różne perspektywy. | 2023-10-30
Nigdy nie wracaj do osoby, która Cię zdradziła. | 2023-10-30
Remember that people who are trying to destroy you are already below you. | 2023-10-28
Nie okazuj emocji nawet jeśli sytuacja jest poważna. | 2023-10-28
Otwieraj usta tylko wtedy, gdy ktoś do ciebie mówi bezpośrednio. Ignoruj innych jakby byli nieistotni. | 2023-10-28
Zachowuj się tak, jakby nic nie było dla Ciebie ważne, nawet jeśli świat wokół Ciebie się rozpada. | 2023-10-28
Nie blokuj nikogo, nawet jeśli Cię denerwuje. Niech te owady brzęczą i marnują czas. | 2023-10-28
Nie trać czasu na wyjaśnianie rzeczy dwa razy. Jeśli ktoś nie zrozumie Twojego punktu widzenia, pozwól mu utonąć we własnej niewiedzy. | 2023-10-28
Jeśli chcesz, aby ktoś Cię słuchał, zacznij rozmowę, od "Tak naprawdę nie powinienem Ci tego mówić". | 2023-10-28
Bądź szczęśliwy, a inni będą chcieli być szczęśliwi razem z Tobą. Ludzie kochają szczęśliwych ludzi, bo sami chcą być szczęśliwi. | 2023-10-28
Nigdy nie pytaj kogoś czy mówi prawdę. Uczciwa osoba poczuje się urażona. Kłamca po prostu będzie Cię bardziej okłamywać. | 2023-10-28
80% rozmów w życiu, które porwadzimy to rozmowy z samym sobą. Jeśli nauczysz się rozmawiać z samym sobą, nauczysz się również rozmawiać z innymi. | 2023-10-28
Jak rozpoznać przyjaciół z którymi nie warto utrzymywać kontaktu: Mówią tylko o Twojej przeszłości, nigdy o przyszłości. | 2023-10-28
Idąc czyjąś drogą, nie osiągniesz swoich celów. | 2023-10-28
Gdy ktoś mówi przepraszam, nie mów "Nie ma za co", powiedz "Dziękuję" i nie zrobi tego ponownie. | 2023-10-28
Jeśli ktoś próbuje Cię przestraszyć to zaśmiej się z niego. Poczuje się zażenowany. | 2023-10-28
